glp1hxfer6mUP	glp1hxfer6mDOWN	glp1hxWTmUP	glp1hxWTmDOWN
	F35E12.1	C27C12.7	Y46C8AR.1
	T19H5.6	F09F3.8	C25H3.10
	F52C9.3	F27C8.4	F49C12.7
	T03F1.10	F49F1.1	C52D10.1
	H23N18.4	F59F4.4	C54F6.14
	C49C8.4	F35G8.2	Y6G8.9
	W08D2.4	C50E3.6	F58H7.7
	M05D6.9	T26E4.15	T07H3.6
	F46G10.3	C35C5.10	K07C6.3
	C23H4.4	Y27F2A.3	Y11D7A.9
	F28G4.2	ZK813.1	C03G6.15
	W04G3.4	C28C12.7	T05H4.15
	T10H9.5	T05C3.6	C15F1.6
	M02D8.4	T13A10.12	K11H12.11
	K08H10.10	C34H4.1	T20G5.7
	H16D19.1	VC5.2	F13H8.9
	C52A10.2	C31H2.4	F35F10.6
	F13D11.4	C29G2.6	F52B11.40
	F58B6.1	C08H9.15	Y73F8A.22
	F58A6.1	B0495.4	F10D2.11
	C55A6.3	F15E11.12	Y48E1B.8
	R11A8.5	Y47D3B.12	F07G6.10
	Y4C6B.5	C55H1.2	C26B9.3
	R12H7.2	Y71G12B.21	T11F9.11
	C42D4.13	F15E11.14	C42D8.3
	F27C8.1	C24H11.2	Y6G8.2
	C30H6.7	C17B7.4	F02H6.5
	Y37A1B.12	T23E7.6	F46G11.2
	F07C3.9	C33G8.3	F40F8.12
	F54F3.3	C31A11.5	Y46G5A.29
	ZK546.11	T03E6.7	R09B5.4
	F40H3.2	T28A11.16	Y40B10A.6
	F32B6.1	C35A5.2	B0218.8
	M05D6.6	B0213.2	T22B7.7
	C08B6.1	C10C5.3	F46F5.15
	C05C8.1	K05B2.3	C06B3.4
	B0205.4	T22C8.2	C29E4.7
	F48D6.4	F36D3.3	ZK909.5
	C03B1.5	K11D12.13	C36A4.2
	C01B12.3	Y116A8A.3	R53.5
	F38H4.8	Y40B10A.2	Y38A8.1
	ZK973.10	F58F9.8	C04E12.6
	R13D11.4	T24D3.2	F13H6.3
	H32K16.2	R09D1.3	ZK666.7
	ZC8.1	C49A9.5	F41E6.5
	C55A6.7	Y53H1B.2	B0213.15
	C04E12.6	C09F5.1	B0410.2
	C07B5.5	D2085.7	T08A9.12
	C05E11.6	T19H12.10	R13H4.6
	C25E10.2	T27E4.8	Y32H12A.3
	K10H10.6	K09C4.1	C15C8.3
	C09H10.5	Y44E3A.1	F47B8.2
	R05F9.5	F14H8.6	E01A2.10
	F13H8.11	ZK813.7	F40A3.3
	ZK637.13	C43F9.9	F10D2.6
	C40H1.9	C01G6.10	B0395.3
	K04A8.5	F53B7.2	F09F7.7
	Y45F10C.4	F36F2.5	C30G7.4
	T18D3.3	F35E12.9	R04B5.6
	C52E4.2	C56E10.3	D1086.9
	C35A5.3	Y66C5A.1	Y69F12A.2
	Y54G11A.9	F10D2.1	ZC8.1
	F37B1.3	H03E18.1	Y54G2A.49
	C08E3.7	Y54G2A.45	F49H12.6
	C05D11.5	R13A5.3	F11G11.3
	W06A7.5	F20A1.8	D1009.3
	D1086.9	F14H3.11	K07E3.8
	K02G10.3	R74.2	T23G7.2
	T19D12.9	K04G11.5	Y54F10BL.1
	F49E12.9	Y38E10A.9	R12A1.4
	B0228.7	F10D2.2	Y53G8B.2
	T10H4.11	C49F5.9	F08C6.6
	K09H9.5	C27H5.8	Y76A2A.1
	C17B7.12	C43D7.5	C31H2.1
	F40H3.3	Y70D2A.2	R11H6.1
	T24B8.5	K06A4.3	F38E11.2
	H09G03.1	C53B7.5	R06B9.1
	F09B12.3	F08D12.7	H22K11.2
	C39B10.5	M01D1.2	F25B4.1
	F47H4.4	F35E12.2	F47B8.1
	F07G6.10	ZC455.6	C41D11.8
	K03H6.2	F28H7.3	F15B9.6
	F46F6.4	C14A11.1	F01E11.5
	E01A2.7	F54F2.5	F46B6.8
	H19N07.4	W06H8.2	C33A12.6
	C18H9.5	C10E2.4	T05H4.5
	Y69F12A.2	C04A2.1	F02D10.1
	T24C12.3	Y55F3C.7	B0228.7
	Y9C9A.16	F56D5.3	F39E9.11
	Y75B8A.12	F08F3.6	M176.7
	F08H9.5	F49F1.7	Y17G7B.1
	E04F6.4	F25B4.3	F08H9.6
	C52B11.5	Y45G12C.1	C56G2.9
	C32H11.4	T08E11.4	C36A4.1
	R07E5.2	Y41G9A.5	C29F3.6
	C40H1.2	F41C6.4	C05E11.6
	K05F6.4	W06G6.1	T01B7.8
	F49E11.6	Y53F4B.31	Y20C6A.1
	C14F5.4	C02F4.4	ZK1073.1
	C28C12.5	Y22F5A.6	F08F1.6
	M03B6.1	C53B4.3	R07E5.13
	C14A11.6	ZK896.4	B0511.5
	Y37A1B.13	T22F3.8	T01C3.11
	C06B3.4	Y43F8C.2	F07H5.13
	F35F10.7	Y73B6BL.26	F35F10.7
	D1054.8	B0222.9	T02G5.7
	E01A2.10	M03F8.4	PAR2.3
	F56H1.6	Y52E8A.4	F22F4.5
	R04D3.1	K09C4.5	C02B10.1
	C42D4.2	F08G5.5	Y24D9A.8
	C26B2.4	T10C6.12	C08F11.3
	C17B7.5	D1086.5	C10H11.5
	T02B5.1	M05D6.7	C28D4.11
	ZK355.5	Y19D10A.7	F35C5.2
	ZK1320.6	C50B8.1	F38A1.7
	C15H7.4	C18D11.9	Y38C1AA.11
		C01F1.3	T24F1.7
		Y102A5B.2	Y80D3A.9
		T02B11.6	F07E5.5
		B0496.8	Y39A3CL.4
		C09B7.1	C27F2.9
		T05H4.7	C28C12.5
		F36G9.5	Y38E10A.4
		F15E11.4	T03F6.4
		C01C10.2	M28.4
		C10C5.4	F59B10.5
		F59A6.12	F09F7.4
		C14F11.5	H04M03.3
		C25F9.11	ZK1290.15
		C49C3.9	C55A6.11
		Y67H2A.9	F38A1.6
		W04D2.2	F14D12.6
		H23N18.4	T02D1.6
		K02E2.4	W06D12.3
		F27E11.1	T02G5.8
		T27F6.2	T03D3.1
		F59F4.2	F14H12.6
		T05A10.2	C36A4.9
		T08B1.6	C42D4.13
		T07F10.1	T22C8.6
		H03A11.2	R13H7.3
		F08G2.4	F16B4.9
		M7.3	Y59A8B.20
		C01G6.7	F53E10.4
		Y54G2A.3	C48B4.4
		T01D1.3	F35H8.6
		C27B7.7	Y54G11A.7
		Y45F10C.4	T04G9.4
		F55H12.4	F54C1.1
		F01G10.7	F53C11.4
		ZK105.1	W02D3.12
		F49A5.2	R01H10.4
		F02D8.4	C30G7.6
		ZK669.2	ZC328.1
		T23F6.7	ZK742.4
		E04F6.7	R03E9.2
		F22E10.1	C02B8.3
		F44D12.11	C05C10.4
		C17D12.3	C24A11.8
		F55A12.6	F53C11.3
		Y52B11A.8	F35G12.1
		T28B4.4	W06A7.5
		F11A5.10	F55B11.5
		K07C11.7	C43E11.7
		Y55F3C.3	C15F1.13
		F28H7.8	Y71H2B.1
		F31D4.4	F01G4.2
		K11D12.3	K05F6.11
		H11E01.2	F42G9.5
		F49E8.6	H32K16.2
		Y32F6B.1	T12B5.14
		D1007.14	CC8.2
		R02D5.3	C37A5.4
		F21H7.3	T07C4.1
		C32H11.9	Y48C3A.3
		K01A12.4	E02C12.11
		T18D3.7	C56G2.6
		M79.2	W08E3.3
		Y76A2B.2	F08H9.9
		F22B8.4	C14A4.1
		R04B5.9	C30H6.7
		T28C6.4	F54D5.7
		R10H10.3	T20F7.6
		D2024.2	Y71H2AM.13
		T27A10.3	F48D6.4
		F46F5.7	F18E2.1
		F57B7.4	C50H11.15
		F02H6.2	C02B8.7
		F12B6.2	Y119C1B.4
		F20G2.5	F27C8.1
		F53B1.6	C44B7.11
		C52A10.1	Y45G12C.2
		T25C8.2	R13A5.12
		F15B9.3	F55F3.4
		T21B6.2	K08F8.2
		Y5F2A.2	T10E9.3
		E04A4.4	D1005.4
		R11A5.7	R05D8.8
		W09G10.6	Y54F10BM.11
		C45B2.2	Y45F10D.6
		F31D4.8	C03D6.8
		W02A2.9	D1005.1
		Y57A10B.3	C37A5.2
		K12B6.5	K10H10.3
		F33H12.7	T03E6.8
		K02E11.3	Y71H2AM.9
		Y5F2A.1	D2030.5
		F52F12.7	T25C12.4
		Y58A7A.4	F32G8.6
		C16B8.3	E_BE45912.2
		T28A11.2	B0280.3
		Y71H2B.4	F35C11.5
		T04H1.9	B0284.5
		K05G3.3	C46F4.1
		Y59H11AR.4	C12D5.7
		T08G5.10	Y43B11AR.3
		T11F9.4	K10B3.9
		M03A1.8	K10B4.5
		F09B9.1	C39D10.11
		C05A9.1	T03F1.3
		B0024.2	Y18H1A.11
		F58A3.5	C02C2.4
		T27A8.2	T15B7.2
		C09G9.8	C09F9.3
		F41E7.4	T09A5.12
		T21B4.17	C36A4.10
		M02D8.6	F22B5.9
		T01G1.1	F47H4.7
		R04B5.3	K04F1.9
		C43D7.7	F41C3.11
		T27E4.9	F25E2.3
		F01D4.9	F42C5.6
		Y1H11.2	ZK770.3
		F54D12.3	Y38E10A.19
		B0024.3	F14B4.2
		Y38F1A.9	F38B6.4
		C49G7.12	B0238.13
		B0213.3	F27D9.2
		T27E9.3	T07D10.4
		C27A7.4	F33A8.10
		F10C2.3	W04D2.5
		Y62H9A.4	K12G11.3
		Y26D4A.21	W05B2.6
		T16G1.6	F46F6.4
		C35D10.14	F53C3.12
		Y71H10B.1	B0205.6
		B0416.2	F32H5.1
		F59G1.4	T24F1.5
		C23H5.11	C13E3.1
		F40H7.12	C54D1.3
		C44C10.3	C56A3.6
		F42G10.2	Y51B9A.9
		T12B3.2	C14C10.3
		ZC190.1	F09F7.6
		R01E6.4	C14C10.4
		ZK669.3	K07E8.3
		W03D8.11	Y54G2A.37
		F26A3.3	Y40B1B.7
		Y37D8A.2	F55F3.1
		C28H8.2	C32B5.9
		F22D6.1	W02D9.10
		K02G10.7	C14F11.2
		F55B12.5	T15B7.16
		H01M10.3	K03A11.5
		F57F5.1	C55A6.6
		F57C12.1	C09H5.5
		F46G10.4	F47H4.2
		Y41G9A.10	T02G5.9
		R07B1.3	M04C9.4
		F56H11.1	ZK1240.4
		D1086.6	Y18D10A.25
		C13B4.1	F09C12.2
		R09D1.11	T25B9.9
		F44E7.2	B0035.5
		F57G4.11	F21C10.4
		ZC302.3	M01H9.3
		C05C12.3	F09E10.3
		C10G8.7	T07H8.6
		Y59E9AL.2	Y37E3.17
		F28H7.2	T24C2.1
		T20D4.11	R07G3.2
		F49A5.3	F44B9.5
		W09D12.1	Y69H2.2
		H32C10.2	F41F3.4
		W03F9.3	F35E12.1
		F54D1.5	R07E3.4
		F15G9.4	C02D5.1
		F09F9.3	ZC196.5
		D1022.4	K01D12.13
		Y39B6A.7	Y46E12A.4
		C03E10.6	K07C11.4
		C28G1.5	PDB1.1
		F29F11.1	T19C3.9
		C06B8.2	Y53F4B.16
		K02F3.5	F56H11.4
		C38D9.9	C54C8.12
		F45F2.2	Y47G6A.19
		F59B1.10	W04C9.1
		Y18D10A.23	K07E3.3
		F33C8.3	K12B6.3
		T08D10.4	F21C10.11
		F16C3.2	F14F7.2
		ZC168.5	Y41C4A.2
		R106.2	K10H10.5
		K08C7.2	F46G10.3
		B0457.6	T19C3.1
		F47C10.2	F54F7.4
		F59H6.3	F46E10.1
		Y43F8C.1	K03E6.1
		F14D2.14	D2096.8
		F22B3.1	ZK622.3
		F07B10.1	Y54G11A.6
		B0285.6	F15E6.2
		F55G1.10	R57.1
		F41E7.8	R02C2.7
		T25C12.3	F49B2.5
		K03E6.6	F43C9.4
		ZK970.7	T11F9.3
		F15D3.8	ZK6.7
		C04C11.1	Y5H2B.1
		W08E12.3	C14B9.11
		K09A11.2	ZK430.3
		F32H5.6	F09E10.10
		F08G2.1	Y49F6B.10
		F07F6.6	F46B6.6
		C06C6.5	C37A5.3
		M03F4.7	Y61A9LA.7
		Y17G9A.3	T24H7.5
		T28B4.3	C23H3.4
		R09B5.3	F40G9.5
		C45B2.8	E02C12.12
		C47E12.9	B0250.5
		C31H5.6	F39B2.3
		T24A6.20	F15D4.2
		C33A12.4	C44H9.6
		C01G8.5	Y15E3A.1
		K09H11.7	T20B3.7
		T05D4.2	C01A2.2
		C38D4.6	T03F1.10
		C55A1.6	F42F12.3
		F46F11.1	Y53F4B.39
		T24D8.1	Y82E9BR.14
		F59D6.3	F26D2.10
		F58F6.2	R07H5.9
		R08B4.1	R53.7
		C14F11.4	C50E3.16
		VZK822L.2	F01F1.15
		K08C7.1	F08C6.2
		R11G11.2	F54B11.4
		Y87G2A.14	C09G12.10
		T04A11.5	T22D1.11
		F21D9.1	C50H2.13
		C18E9.7	Y46G5A.24
		K02F2.6	T21G5.6
		C46F11.3	T05F1.11
		F32B5.8	B0563.5
		C49G7.10	C50D2.9
		C43G2.1	C24G6.7
		M05B5.2	F40E3.10
		F13H8.6	C34F6.5
		F40F4.6	Y38F1A.1
		T21E3.1	F42A9.4
		E03G2.3	K10H10.2
		ZK673.9	R07B1.11
		T23F2.4	C06B8.12
		B0213.5	K03B8.6
		T12A7.1	F54F3.5
		C43D7.4	Y69A2AL.1
		F09C12.1	F35D11.3
		F35D11.10	T07A9.9
		C49G7.5	F39B2.11
		F13H8.3	C08A9.1
		F07C6.2	B0310.2
		K07C11.5	R05F9.6
		Y53G8AM.5	Y69A2AR.5
		T03F7.7	F27D9.5
		F40F4.4	T08B1.4
		T08G5.1	F41C3.1
		AH6.9	T10B11.6
		F07C4.7	C48B4.3
		T14G10.4	Y54G2A.8
		F22H10.2	F32B6.3
		Y73F8A.36	F52D1.1
		T19D12.4	K03H6.2
		C53A3.2	Y41E3.1
		T27A3.7	ZK792.2
		T21E8.1	T23G7.3
		C04G2.9	H41C03.1
		F48F7.2	K10B3.5
		C35A5.6	Y56A3A.14
		F52E4.5	T05C1.5
		F17H10.2	F31E8.4
		T09A5.10	F54D5.16
		ZC373.3	Y53F4B.32
		B0035.10	K05F6.4
		F48F7.3	F28A12.3
		F49E10.5	F32G8.2
		ZK563.7	F35C5.1
		C08G9.1	D1005.2
		T04F8.8	C50F7.2
		R09F10.5	F31B12.4
		T24D8.5	T23C6.5
		R09B5.9	T01G6.10
		ZK899.1	F23C8.5
		F14H3.8	F28H6.1
		C15H9.4	D2021.4
		H06H21.10	Y42A5A.2
		K11D12.7	T25C12.2
		T21B4.9	T21B10.1
		F15B9.5	Y51H4A.15
		C28H8.5	F52B5.1
		F11A5.9	K08E3.1
		C03D6.1	C14B9.3
		ZK688.6	F54F3.3
		ZK822.3	T10B11.1
		ZK1248.16	T28F2.6
		C47D2.2	F10F2.2
		H12D21.5	C09B8.4
		K07F5.6	ZK697.6
		H27C11.1	F13E9.14
		F17E9.11	Y49E10.18
		W02D9.5	T24A6.9
		Y41D4B.10	C14F11.6
		W02D9.7	Y48E1B.5
		C51E3.10	Y39G10AR.18
		T28D9.1	Y48A6B.8
		T22F3.7	T04G9.7
		C05E4.3	F58G11.3
		ZC513.7	Y46G5A.34
		M04D8.2	F10D11.1
		F10E7.4	F59C6.12
		Y38F2AL.4	K04F1.15
		F33H12.5	Y49G5A.1
		C26C6.3	C54C6.7
		C15H9.7	C44C8.10
		F59F5.6	Y38F1A.6
		Y67A10A.10	W02F12.8
		D2096.5	F53B3.6
		K09C8.3	Y54E10BR.4
		F41E7.5	T14F9.3
		F11D5.5	T05H4.13
		T07C12.7	C38C3.4
		D1054.9	W02H5.6
		K11C4.4	C50F2.10
		C45E1.4	R160.3
		ZK354.11	F57F4.2
		Y22D7AR.7	C39D10.3
		W10G6.2	F09B12.3
		Y75B8A.27	F39E9.2
		C46C2.5	Y17D7A.4
		C09B9.6	C01B12.3
		Y39A3A.3	K10G4.4
		F48E3.8	F19C6.5
		C34B4.1	F41E7.6
		F25H8.6	T04A8.4
		F01D4.8	F41H10.8
		Y66A7A.8	F35E12.8
		K03H1.10	M04C3.2
		C06A8.1	Y75B12B.4
		R173.1	F12F6.9
		T22H9.4	T22B7.1
		C55B6.1	F08H9.7
		ZK675.3	F01G10.11
		T05F1.13	F26A1.9
		Y32G9A.4	T22E5.3
		C17C3.19	ZK892.6
		ZK742.3	F55C12.6
		M117.4	F27C1.4
		F13E9.15	M02D8.4
		T19H5.7	C07G1.1
		C17C3.4	H42K12.1
		F57C7.3	F42D1.3
		K03H1.4	C27C12.4
		F07D3.2	C52E4.1
		D1086.10	C14A11.6
		C05G5.1	F26F12.5
		C43G2.4	K11D2.2
		C27D6.12	W09B6.1
		B0213.17	W06B4.2
		C02F12.10	Y38E10A.5
		T05B11.4	F16H11.4
		F59C6.18	R06C7.3
		C01B12.4	Y41D4B.17
		H02F09.3	Y116A8C.1
		F09G8.5	C27D8.4
		Y106G6H.9	W02B12.13
		F13H10.6	B0284.3
		C15A11.7	F13D12.9
		Y32B12A.3	F42C5.4
		T26H2.9	F36D3.9
		Y48B6A.16	ZK809.3
		E01H11.1	F56D5.6
		F35E8.11	F26D10.9
		Y102A5B.1	B0238.1
		Y46H3B.1	K01A2.10
		T18H9.2	C29F9.2
		CD4.5	R08F11.1
		K06A9.3	Y73B6BL.37
		M01E11.4	R13H4.5
		F49F1.6	C25F9.4
		M03B6.3	F43G9.3
		DC2.5	ZK896.1
		Y34B4A.9	W05E10.1
		Y40C7B.4	F42G8.12
