	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0348.9	11.3295513608507	0.407501271943132	0.34996937304277	1.16439123915375	0.244265496340531	0.494599432648012
egl-8	787.026060976918	-0.15304781626291	0.148848393523724	-1.02821275151026	0.303849761471787	0.558353630622108
cyp-29A3	252.517036058869	0.334772225404292	0.227567626774588	1.47108896880088	0.141267057888726	0.35460774579738
rps-27	634.644229698687	0.378959211964044	0.232647994335709	1.62889524599645	0.103335196671667	0.291673745627288
W03F9.2	19.6524416159434	0.82599463384885	0.307708205036263	2.68434386971094	0.00726723175381262	0.0486343315304549
W03F9.11	31.4207680752391	-0.177560222284055	0.214937440730162	-0.82610187262334	0.408746305502263	0.658553402633494
W03F9.9	119.669650892243	-0.310778419559627	0.203389823615958	-1.52799394794914	0.126514040589042	0.331415825948418
W03F9.4	83.3131042509393	0.798953604199593	0.234442406103953	3.40788860461248	0.000654676149723497	0.00839982735791435
Y108G3AL.3	46.6104304964846	-0.218283931059209	0.240038505655415	-0.90937047980362	0.3631545987695	0.616324174936224
Y108G3AL.2	49.0788852194288	0.772504185649971	0.2418186830592	3.19455955957238	0.00140044385053806	0.0150398653190703
trpp-1	62.1578305817007	-0.011974691362816	0.156286779884715	-0.0766199890460926	0.938925856737971	0.977095110724904
lec-12	392.376309780557	0.140080710789094	0.0929444779193634	1.50714398450465	0.131773754627166	0.340105857338195
DC2.5	1036.69983221716	-0.259164744507643	0.169016602365871	-1.53336856190392	0.125185070250638	0.329514888402162
srh-77	6.41836937060054	0.0668703929065494	0.444517232897642	0.150433746900309	0.880422418028356	0.95055106454215
R02C2.7	67.9928819153532	0.433103567085061	0.458704716770973	0.944188169971021	0.345073499428929	0.598253535873217
oac-39	4.60516970112271	-1.18688993367827	0.522162089928599	-2.27302969053263	0.0230243907932286	0.106923327159214
nhr-204	76.3809105663647	0.193324454162095	0.164041902800236	1.17850653316011	0.238594729338268	0.487258846597382
lgc-26	112.203229426076	-0.919937276796962	0.634238136692375	-1.45046036114217	0.146930185231937	0.363277983955066
npr-5	61.6158940040129	0.0692400581399261	0.338372208000333	0.204626906415015	0.837863631918274	0.934453324846197
F33E11.3	50.2017447363119	1.04737545730566	0.324005834957697	3.23258208433934	0.00122676885863585	0.0134684113970403
abt-4	660.858767391884	-0.0139398073875421	0.22695833605049	-0.0614201162650444	0.951024632140276	0.980999076959379
dmd-8	16.578120435696	-0.00591994650921636	0.369277671634859	-0.016031152067786	0.987209539129039	0.994517928469952
atg-9	84.8081640101069	0.740765367058238	0.328731205120594	2.25340751203249	0.0242334663204747	0.110625797484793
T22H9.1	53.6783162010543	0.937091355028613	0.228664837327772	4.09809993517006	4.16555441803327e-05	0.00102816620026969
ZK6.8	169.11787591875	-0.915847583472516	0.208661957880849	-4.38914497292068	1.13797192096515e-05	0.00038506837818118
lipl-5	38877.4906528866	-0.943956896936915	0.22334376784101	-4.22647520484602	2.373804153682e-05	0.000668934129628862
ZK6.6	53.1562520720584	-0.444705719853793	0.324984440478632	-1.36839080418385	0.171189781133131	0.398429815419085
dod-19	70199.2884547598	-0.633448729305643	0.223603511065004	-2.83291047751703	0.00461263019781902	0.0353208335016121
ZK6.11	36461.8839098253	-0.163309155447071	0.216526995668318	-0.754220760986458	0.45071667332351	0.695303078089461
Y39D8A.1	178.878757044673	-0.383021527845359	0.190282933260412	-2.01290531569205	0.0441245912533545	0.166182273394826
B0554.5	81.0926908682598	-0.200688216406341	0.327022656528575	-0.613682912788658	0.539424881910459	0.761082322845909
srh-35	6.22625096407047	-0.564428720743385	0.565214889778178	-0.998609079397923	0.317984100125541	0.571432070112657
M02H5.8	1223.05734542537	0.0900662149308629	0.329199021884396	0.273591988260802	0.784398191608605	0.906902861667545
nhr-123	30.8548717920759	-0.101912901722816	0.347834109681797	-0.292992834475167	0.769527628741506	0.900074048455627
nhr-98	72.3610405924253	-0.297649189449359	0.192883478370509	-1.54315544267408	0.122793065318497	0.325380582179486
nhr-203	140.400932569008	-0.346990115389933	0.113693584830105	-3.05197620348104	0.00227340123016137	0.0212773896129673
nhr-202	94.0907647920329	-0.0276804259132923	0.17056821466956	-0.16228361167359	0.871082519599849	0.947666398236535
nhr-201	52.9975580963489	0.135050871428844	0.197509593348133	0.683768667331523	0.494121254872715	0.728753500200449
nhr-99	167.248679128342	-0.19194555586289	0.246689125789522	-0.778086813711684	0.436517835843659	0.683906598741875
nhr-55	289.862232196365	-0.332970604434848	0.146533380897168	-2.27231912889879	0.0230672422627754	0.106959136011367
nhr-130	118.866922449584	-0.00774789679008962	0.146163438786235	-0.0530084462600867	0.957725178034536	0.984134219561124
nhr-212	258.645064612339	-0.146866530923788	0.141548272378418	-1.03757204843272	0.299469336658647	0.553204220052285
nhr-211	55.8816795020543	-0.0480087661247762	0.171370693296236	-0.28014571920875	0.77936570955879	0.904983186598371
nhr-106	304.002293250519	-0.324192589779378	0.190111040239276	-1.70528018452451	0.0881421814334461	0.264069073112601
nhr-131	380.124345502154	-0.343146692421447	0.198889444656175	-1.72531374409865	0.0844709463739812	0.257016336392972
pqn-60	480.228509127593	-0.0493904613677508	0.331622729545236	-0.14893569399022	0.881604375576583	0.951330598102361
nhr-210	129.530755329962	-0.393756239372356	0.122283210990934	-3.22003516412036	0.00128174873356766	0.0139682248709766
lipl-3	185.575402808736	0.487631010508363	0.386811414560185	1.26064276325147	0.207437584216928	0.449093467860889
nhr-58	128.150335366041	0.168997169164143	0.157341408893907	1.07407941972921	0.282787087631262	0.536916478847534
nhr-132	390.111379627373	-0.420676722048823	0.144075793170773	-2.91982929811252	0.00350223165326515	0.0290870126037245
C14C6.5	2449.30955970475	-0.720624353239583	0.375394157573328	-1.91964722599291	0.0549024744874806	0.193555242501641
C14C6.2	1140.88744649295	-0.0103693426510141	0.183266480727992	-0.0565806830022807	0.954879222621181	0.983419084200026
pqn-97	3.54719321859505	0.409386178922409	0.583137174608526	0.702040954938674	0.482653622966783	0.719281044321766
nhr-90	425.832700831249	-0.316291049803623	0.167451687588409	-1.8888495801909	0.0589119870907955	0.202461234127538
nhr-250	8.37179381938126	0.285250261612035	0.353148818463304	0.807733869401792	0.419243801608347	0.667768272945253
F48G7.13	43.521960534386	-0.714379456294433	0.215071022562142	-3.32159789721566	0.000895035778306125	0.0106273938223214
F48G7.4	32.9772878045845	-0.0647741561376273	0.232499983604758	-0.278598540668034	0.78055293276206	0.90548727922462
F48G7.7	3.86490618425152	-1.98359720098493	0.64646235557603	-3.06838779377563	0.00215217133845434	0.0204574963072562
nhr-83	56.039604104199	-0.316216928924556	0.25122835187784	-1.25868329175808	0.208144748736254	0.450059166094573
F48G7.10	26.177308877491	0.245190894849086	0.25591616254446	0.958090698185152	0.33801702554024	0.590501587565113
F48G7.2	19.7115394196228	0.280698644971128	0.403927619499867	0.694923128353247	0.487103477511185	0.722861840209597
nhr-190	114.885178396521	-0.19311333379939	0.177620427856712	-1.0872247980124	0.276937474071895	0.531272000899933
nhr-180	58.198114529805	-0.167069970741292	0.212719310529056	-0.78540105421445	0.432218462865306	0.679876030578798
sru-24	6.63385024413567	0.227783106661856	0.520209876989688	0.437867708279539	0.661482185262738	0.843539701507981
fbxa-72	108.469908575337	0.233829855134758	0.259798747388684	0.900042273048093	0.368097754652336	0.62048904923938
F31F4.1	22.7846295934527	-0.188244925883588	0.256845505096882	-0.732911116402767	0.463612642590378	0.704602188562684
H25P19.1	55.350224842147	0.140496870062915	0.21060337708795	0.667115940900804	0.504698078569639	0.734260625742428
ugt-29	693.622524200166	0.121912185645467	0.187250999126055	0.651062938058863	0.51500585964928	0.742326216096565
srx-5	7.52055182891835	-0.37076635901466	0.48501685901718	-0.7644401470208	0.44460499180019	0.690509810061206
fbxb-72	10.6020428540413	0.010596614807626	0.406029596586084	0.0260981339703382	0.97917906543293	0.992934660284838
icl-1	34141.4213726542	-0.585170230257242	0.280111320760773	-2.08906312200428	0.0367020414636868	0.147460012812868
srh-2	131.243979665604	-0.260126474087504	0.366170955388479	-0.710396251421771	0.477458447091525	0.715945376224525
str-262	35.2028094159447	-0.198395307233794	0.273789892818995	-0.724626118192592	0.468681431384071	0.708559854422709
srp-1	1962.79142875811	0.252020632513556	0.240917015366084	1.04608897022321	0.295519957135701	0.549208693167675
C05E4.15	6.61112590817289	0.227268018240014	0.528285890256964	0.430198917728937	0.667050949213305	0.846448141485686
srp-2	306.602812388128	-0.293868518060612	0.168965983838961	-1.73921703874251	0.0819965934791651	0.252706096048544
R09E12.9	64.9901112711551	1.30366739024851	0.382864453690343	3.4050363717048	0.000661552419649683	0.00844663595557657
R13D11.4	70.6228486089842	0.21720496040295	0.334485088499468	0.649371131542371	0.516098518878606	0.743176118385205
srbc-12	18.8424793675946	-0.709802179335799	0.339110160765372	-2.09313155858785	0.036337412243215	0.14681112704453
T02B11.3	956.884804287404	0.325437192873645	0.331717229672585	0.981068101873579	0.326559159239844	0.580487250749135
T02B11.4	49.5952690924187	0.381609483471277	0.397401970401569	0.960260672803574	0.336924037677335	0.589588561363621
T02B11.8	152.453367315653	-0.195237479192906	0.354817094999717	-0.550248231960363	0.582149125949602	0.793192751367459
T02B11.6	61.0732190938675	0.59851650098445	0.227600195859698	2.62968359374084	0.00854643705527681	0.0544927571058402
nas-32	251.095667711598	-0.31520161544469	0.206602233946832	-1.52564475912591	0.127098358761445	0.332084403417173
fmo-5	352.150953712807	-0.213989318811552	0.110917597114401	-1.92926392546029	0.0536981057641626	0.190447808577836
H24K24.4	9.08621343057909	0.629977678727991	0.392716960194949	1.60415195314015	0.108680562465388	0.301981294201249
H24K24.3	553.38560183813	0.053306110723005	0.134582358429987	0.396085425644671	0.692042009612558	0.858670301705184
Y50D4C.6	15.4231467942984	1.0154364272169	0.377972619045065	2.68653435738907	0.00721975226729285	0.0485163599404435
sqv-6	12.0332172536255	0.535835321857269	0.355600455924817	1.50684655469215	0.131849993353525	0.340217722370796
Y50D4C.5	8.46621044252963	0.971063807885742	0.410449767476109	2.36585298575486	0.0179885859943758	0.09022209328508
R09A1.3	82.1414330639936	-0.247284769330681	0.165976720656301	-1.48987622091143	0.136256785019654	0.347000165149782
nra-4	859.001581135022	-0.284311838317069	0.158995504729897	-1.7881753248311	0.0737477259754517	0.235473597418377
K10C9.9	9.35486544485672	-0.331523460545197	0.410164648539828	-0.808269219995943	0.418935617535513	0.66738018431181
K10C9.3	455.806527786874	0.417007039138406	0.309997826298285	1.34519342963765	0.178562777471293	0.408741975344868
Y50D4B.6	23.4703141281616	0.69773714897815	0.357923813542944	1.94940130434891	0.0512475188917161	0.184476797903978
clec-203	5.86282503356098	-0.829519193165991	0.748896490984815	-1.10765533441765	0.268010696135792	0.521695204109987
Y50D4B.4	70.8341839010857	1.54459267497819	0.26974550280258	5.72611094135139	1.02759035446045e-08	9.40472517330083e-07
Y50D4B.3	222.849082215464	1.3441112949967	0.202250954922772	6.64575994466841	3.01656564110707e-11	5.88628714345836e-09
Y50D4B.2	12.3348105787177	0.326260780116117	0.354214347352485	0.921082905180713	0.357007144560803	0.609917263696824
W07B8.3	77.7390115956967	0.0039668190071565	0.328462120528577	0.0120769451307594	0.990364226172857	0.9959497109179
cpr-5	6904.00611832901	0.222122922616851	0.196025931667101	1.13313029928137	0.257159539057715	0.509691787707353
W07B8.1	190.679394126172	-0.514342368634263	0.125807889371571	-4.08831569469515	4.3451656729785e-05	0.0010573577268222
linc-128	6.56480286628951	0.512386537552887	0.456275998645743	1.12297499555901	0.261448114160383	0.514537849028865
ptr-16	14.2441946601173	2.38477683349766	0.599248709075681	3.97961113203914	6.90280864333063e-05	0.00154521313829709
T21H3.1	8559.19561020798	-0.141856379563622	0.204757978823205	-0.692800253152069	0.488434913331203	0.724006574985136
F25A2.1	494.226846227681	-0.501012248992027	0.272210141026308	-1.84053484232098	0.0656897538065702	0.217736314583285
Y50D4A.4	137.215774893363	0.150838252300762	0.180654641420202	0.834953650318418	0.403743805631645	0.653957468730223
Y50D4A.10	16.6977372961936	-0.368406433327406	0.362986835367852	-1.01493056340201	0.310138927908077	0.563502967679075
madd-2	64.5815764510224	0.0200677245387418	0.250794841470677	0.0800164964361444	0.936224135780862	0.975854667632098
C39F7.1	30.0474262029282	-0.0310337322491355	0.247846947118127	-0.125213292356369	0.90035469428607	0.961113590184133
rab-1	1534.60601581044	0.181194997864388	0.118722847869832	1.52620157884901	0.126959670396641	0.331905184843797
C39F7.5	76.6355147228961	0.227261047911362	0.177476810092438	1.28051122731468	0.200365398711362	0.439579752539861
pme-5	609.859904841101	0.227860354737467	0.213719281637663	1.06616657604052	0.286348348409858	0.540859343002492
egl-2	20.5531984324875	0.150083550110525	0.4862920010792	0.308628457341379	0.757604171120258	0.891975161163626
F16B3.2	36.3622928971095	0.10372890339515	0.283763151968868	0.365547473924767	0.714702775870728	0.872527968731798
F16B3.3	5.74992419210927	0.131309708837018	0.390469523255805	0.336286703612958	0.736654675652943	0.883097560635532
Y75B7AL.2	28.8797260349158	0.333047662537218	0.289030793478674	1.15229127847857	0.249201399656189	0.500824111007445
glb-33	111.547423261824	0.39209465377116	0.246394978669588	1.59132566697698	0.111536303339792	0.306399888565919
snt-5	119.376258232055	-0.0101185231608506	0.190572581220844	-0.0530953776037949	0.957655914397617	0.984134219561124
R12A1.3	5.4430936272082	2.41766345500074	0.742288263146509	3.25704119953673	0.00112580091340743	0.0126006851152161
ges-1	643.911222765702	-0.497008801250845	0.189487027159725	-2.62291729782589	0.00871804319498172	0.0550775826038491
R09B5.11	448.749685570867	-0.298635377287191	0.138997165797044	-2.14849975950763	0.0316740754759106	0.133636955422914
cnc-11	16.4447069620741	0.485772664949239	0.423876197232786	1.14602487264096	0.251784860698424	0.503402310755453
cnc-1	94.8443622998564	2.24999851311231	0.531937051525599	4.2298210035554	2.33877329915584e-05	0.000660863209286057
cnc-4	1346.5034901921	0.343581048953737	0.310457565745248	1.10669246577701	0.268426913914441	0.522177787841001
cnc-3	1088.15586474108	0.40814494819124	0.320987980076923	1.27152720202617	0.203541156489812	0.444246034847437
cnc-2	1747.35365073246	0.451879104013333	0.295666844494849	1.52833877868644	0.12642844650945	0.33139937368875
srj-23	6.82768288205074	0.32276572190417	0.460200896323928	0.701358307822547	0.48307943393438	0.719281044321766
hacd-1	1012.01206642457	-1.74796447892203	0.236946034773468	-7.37705731430858	1.61826356410268e-13	5.23002555623434e-11
fpn-1.2	354.179319155122	-1.05161702810776	0.166716302522636	-6.30782360330341	2.82986468039833e-10	4.2415160180695e-08
pqn-54	18.8679914801787	0.339691156611562	0.476599880218933	0.712738652925215	0.476007493337469	0.714599562030609
tag-304	141.366670922526	0.275853996565699	0.172886991187991	1.59557404909515	0.110583925267115	0.305382898561416
unc-60	1379.17472513573	0.168140500946814	0.122511863589607	1.37244260286543	0.169925695326062	0.396608336958278
C38C3.4	134.869577642615	0.0961495814687416	0.191226408836394	0.502804931880529	0.615101425835823	0.816072692064786
C38C3.10	37.966846866612	0.0926424322862654	0.233249933780165	0.39718095857459	0.691234022685896	0.858632496490662
sru-27	2.87764702529075	0.0890815559840449	0.764267706388364	0.116558053204956	0.907210279765578	0.963845088415755
nhr-260	3.41966535534128	-0.666965031457705	0.663248745665811	-1.00560315540162	0.314606505434659	0.568386324529465
oac-31	569.553305176149	-0.874205956530334	0.194887310495084	-4.48569973237115	7.26750297064829e-06	0.000264649703248044
oac-32	99.8782668318309	0.341030289408294	0.401909457006391	0.848525167704305	0.396145562293593	0.645868316502999
cdc-25.2	14.8626727420912	2.05325976645483	0.445380693465812	4.61012297250024	4.02430854133989e-06	0.000163855901317075
F16B4.7	75.9718048440203	-0.22296126887992	0.234956554526275	-0.9489467928633	0.342647673953216	0.595473406826442
F16B4.6	8.11308747009395	0.515682732287839	0.331861031911099	1.55391167597521	0.120205486232593	0.320651312514181
F16B4.5	9.40499652701909	-0.124155643383553	0.372774826671065	-0.33305801384788	0.739090491808647	0.883886695537235
F16B4.4	735.317825191425	0.271605656477147	0.258913935650912	1.04901907189479	0.294169340721578	0.547776081212637
F16B4.2	47.8908270556086	0.239521047571465	0.241255184816342	0.992812020822696	0.320801570726054	0.57461022947471
nhr-178	78.642651346005	-0.270469285865504	0.184309892857936	-1.46747025713904	0.142248174513468	0.355861301600941
nhr-177	251.198990549803	-0.352928229776299	0.17154123280674	-2.05739590419005	0.0396481588137868	0.154790962043104
nhr-179	40.5386761385636	-0.763811203585201	0.235893171936554	-3.23795384713652	0.00120390283726142	0.0132737346939846
nhr-117	126.725820825112	0.142336718693992	0.184991282218786	0.769423926288876	0.441641689349738	0.687559589230016
nhr-110	91.2554886596484	0.217053538577427	0.183115705822325	1.18533545553996	0.235884840313308	0.484416405583842
nhr-237	21.3885968269429	0.235358111088708	0.262207499046769	0.897602516878164	0.369397496745378	0.621491607506214
nhr-238	225.818141173274	-0.347360491329769	0.190918114967132	-1.81942133353648	0.0688471744254173	0.225349125768748
irld-11	13.360071253528	-0.717513127264512	0.390146337336222	-1.83908717986034	0.0659023643411436	0.218008546236069
irld-40	4.8275270049384	-0.322846069152733	0.611048048932552	-0.528348089347011	0.597257759993373	0.80459030270307
K04F1.9	146.477262790324	-0.00912463422508406	0.327049133201832	-0.0278998881169728	0.977741997679566	0.992229196349924
gst-21	24.9442780357961	-0.455624369930046	0.256381798133536	-1.77713228180393	0.0755464779222207	0.238930175740553
str-160	5.49782121954411	-0.300792561479891	0.479255124627162	-0.627625133302211	0.530249540142007	0.75472622407771
srab-25	10.7801960813797	1.08731501952307	0.46859900906253	2.32035279310199	0.0203218003800699	0.0979347900888549
nhr-256	207.892060391975	-0.21677003211743	0.167978784516289	-1.2904607730175	0.196890723179894	0.435423771611842
ZK697.8	7.10211588111428	-0.446620334422429	0.484292154384624	-0.922212615626484	0.356417683903643	0.609469524955602
clec-204	176.535617818755	-0.587054627215258	0.22351843141348	-2.62642603342757	0.00862867436029412	0.0546465096351266
