	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0348.9	11.3295513608507	0.58154044077107	0.406582732883666	1.43031268604676	0.152627295394804	0.640873523740586
egl-8	787.026060976918	-0.224502313480262	0.181259389479003	-1.23856929081331	0.215505046586052	0.68988923471467
cyp-29A3	252.517036058869	0.497769954852192	0.274932047663756	1.8105199414983	0.0702151947647027	0.5476870010658
rps-27	634.644229698687	0.288733284047863	0.281754532344994	1.02476890662516	0.305472240930401	0.754514759011316
W03F9.2	19.6524416159434	0.245010212718944	0.36952505518189	0.663040866331362	0.507304381370766	0.859516004889116
W03F9.11	31.4207680752391	-0.307711818411321	0.25778085570962	-1.19369538736401	0.232597145486063	0.706882068356409
W03F9.9	119.669650892243	0.191997793805314	0.244166478868112	0.786339692063226	0.431668504685352	0.822167982142519
W03F9.4	83.3131042509393	0.228060269688064	0.283897345845027	0.803319485109088	0.42179009852622	0.815051046143156
Y108G3AL.3	46.6104304964846	0.125240485815899	0.282884736805974	0.442726204425088	0.657963786094011	0.911700830037155
Y108G3AL.2	49.0788852194288	0.166011424675306	0.292877649651909	0.566828588226565	0.570830645524707	0.883238451290231
trpp-1	62.1578305817007	0.0971529597909356	0.185246813071194	0.524451450366372	0.599964579177921	0.890898093521617
lec-12	392.376309780557	-0.0358158637788135	0.112862831393343	-0.317339759570536	0.75098581142927	0.939441276032414
DC2.5	1036.69983221716	0.269622111978278	0.205389217942264	1.31273741961504	0.189271443857854	0.667377170347121
srh-77	6.41836937060054	0.509819688588759	0.507226061052198	1.0051133562246	0.314842269480816	0.759528516671471
R02C2.7	67.9928819153532	-0.18615718538308	0.53989019446608	-0.344805642501396	0.730240490834696	0.936102463353843
oac-39	4.60516970112271	-1.7800799019662	0.618250817534612	-2.8792196491783	0.00398660569586795	0.197277936394846
nhr-204	76.3809105663647	0.0177610399737655	0.197616449985279	0.089876323428989	0.928385496158644	0.980265670981473
lgc-26	112.203229426076	0.00734525251841049	0.716058685641339	0.0102578917981167	0.991815530042395	0.999952506162457
npr-5	61.6158940040129	-0.371931827704394	0.405716498281916	-0.916728378755634	0.359284991328424	0.780696953308563
F33E11.3	50.2017447363119	-0.0687977071318178	0.391375713859654	-0.175784303152976	0.860463401878339	0.964446209292581
abt-4	660.858767391884	-0.301182566638468	0.275190445549087	-1.09445139360678	0.273757054152731	0.738569256704481
dmd-8	16.578120435696	-0.503382952761291	0.442620450599224	-1.13727902106603	0.255421661929253	0.722522552682858
atg-9	84.8081640101069	-0.392428732194124	0.396460177858293	-0.989831398235387	0.322256535188192	0.763237813769733
T22H9.1	53.6783162010543	0.155200886463824	0.2781988375261	0.557877552055778	0.576928001166351	0.885274190573341
ZK6.8	169.11787591875	-0.676506074354104	0.252007860215253	-2.68446418209441	0.00726461669203931	0.258180982230483
lipl-5	38877.4906528866	-0.248376338976226	0.270939805533615	-0.91672147799416	0.359288608339859	0.780696953308563
ZK6.6	53.1562520720584	0.206152924346672	0.371223973448666	0.55533300403935	0.578666908211547	0.885553886464016
dod-19	70199.2884547598	-0.121186637162511	0.271273417789052	-0.446732444889784	0.655068252857351	0.910812573992232
ZK6.11	36461.8839098253	-0.0964657224907329	0.262837880224071	-0.367016057230773	0.713607040617211	0.931326806941579
Y39D8A.1	178.878757044673	-0.0920015980166593	0.228653671727911	-0.40236221584116	0.687417473007297	0.921132416069279
B0554.5	81.0926908682598	0.204296563103497	0.389909921136996	0.523958360709979	0.600307501606153	0.890898093521617
srh-35	6.22625096407047	-0.0649099393632667	0.638200668569938	-0.101707726989248	0.918988668705215	0.978098261989228
M02H5.8	1223.05734542537	0.44074989747265	0.394721825772262	1.11660888427017	0.264161591306694	0.728522447278354
nhr-123	30.8548717920759	0.198826920501744	0.411463288026054	0.483219101892643	0.628940173638632	0.903535652461378
nhr-98	72.3610405924253	0.137306611652078	0.229440724108352	0.598440456399691	0.549546078100632	0.873295258100298
nhr-203	140.400932569008	-0.0961452480639195	0.135692927476836	-0.708550179082343	0.478603662532871	0.844451841964239
nhr-202	94.0907647920329	-0.132293233946708	0.206396244673789	-0.640967252848025	0.521543959279654	0.864364086805573
nhr-201	52.9975580963489	-0.215854811075954	0.239551971940138	-0.901077162203007	0.367547294626259	0.784883979354709
nhr-99	167.248679128342	0.0496636405384653	0.297229634912905	0.167088455204064	0.867300449728795	0.965006448596916
nhr-55	289.862232196365	0.159354877914695	0.176723405703875	0.901719142860549	0.367206081425446	0.784770682572469
nhr-130	118.866922449584	-0.099316387557021	0.176491931166137	-0.562724805042398	0.573622290690046	0.884420118621087
nhr-212	258.645064612339	-0.0181856415128302	0.171222456748912	-0.106210609625222	0.915415253299321	0.977413230396611
nhr-211	55.8816795020543	0.187754957902906	0.202177291011632	0.928664920592413	0.35306276577416	0.777384527067568
nhr-106	304.002293250519	0.308515073729896	0.229567660597218	1.34389605629686	0.178982001483954	0.662930949377216
nhr-131	380.124345502154	0.214186295240874	0.240677027228647	0.889932444767124	0.373502161271615	0.790120411569093
pqn-60	480.228509127593	0.574759416927992	0.397278319181258	1.44674247039834	0.147969064756617	0.635710005145578
nhr-210	129.530755329962	-0.155859181014621	0.145377259258586	-1.07210152268307	0.283674435023106	0.741832867380191
lipl-3	185.575402808736	0.893072635867189	0.456218318812537	1.9575554050344	0.0502822045035635	0.513102617008186
nhr-58	128.150335366041	0.405837502766688	0.188365657597864	2.15451960799085	0.0311994459585012	0.457680383124567
nhr-132	390.111379627373	-0.11567399148785	0.174662877371501	-0.662270044033549	0.507798171393481	0.859939199042308
