	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0348.5	20.2276307082532	-0.470364519311842	0.348753033227671	-1.34870373730852	0.177432144631342	0.563984681819148
ife-3	668.620591680399	0.0497458772688929	0.136010446025412	0.365750416402564	0.714551321916146	0.901969985324476
egl-8	306.556686317003	-0.102182346171523	0.141847262603223	-0.720368826977993	0.471297938013026	0.78937472342041
B0348.2	10.7703456201969	0.597260574942218	0.425961667730816	1.40214629669366	0.16087156449071	0.541171264521594
cyp-29A3	76.9172111459958	0.885813327308303	0.275230387168263	3.21844305209933	0.00128888561671895	0.0474085767854792
daam-1	19.5059383914544	0.269349978430161	0.375406662564115	0.717488540534784	0.473072704757687	0.789552542772472
rps-27	645.863897054303	0.403786365791905	0.141829626479222	2.84698180355893	0.00441358851055497	0.0959843091259947
F56E10.1	55.17374363426	0.129107040753383	0.249365573434816	0.517742040230471	0.604638262173763	0.856335502695844
Y38C9A.1	897.975971759917	-0.219506554299047	0.186845903192738	-1.17479993164537	0.240074767505108	0.62596001178094
cgp-1	1191.13133934493	-0.207624046449451	0.107020227872119	-1.940044892238	0.0523742343496202	0.342954010142086
W03F9.1	335.866920133828	0.00384827368855418	0.14178098688514	0.0271423818743184	0.978346171353063	0.994320062740349
W03F9.2	86.9162614792167	0.063629364108534	0.184524573289244	0.34482867497975	0.730223174252808	0.909341240412585
W03F9.10	888.471663904275	0.148707561021183	0.088146204945094	1.68705574010603	0.0915926344669964	0.432001771508602
W03F9.11	6.2880830917401	-0.371896170102464	0.436047555477157	-0.852879841730809	0.393725941549977	NA
W03F9.9	22.521653815251	-0.159381567499822	0.285897904384426	-0.557477214962418	0.577201422386304	0.844884509963782
W03F9.4	57.7868376161428	0.161869611330539	0.232908574656408	0.694992065317186	0.48706027415691	0.796657657250462
ttb-1	357.112929170498	0.137088972720801	0.138260483334932	0.991526786353749	0.321428419317399	0.693367573100546
Y108G3AL.3	19.6584046816563	-0.454642009714328	0.348097080628453	-1.30607820351013	0.191525964409796	0.578069584615581
Y108G3AL.2	330.86786366973	-0.0296305361261259	0.103255544162795	-0.286963149207851	0.774140536723724	0.927157200951984
cul-3	179.634865299796	-0.0861323375388549	0.179967885329591	-0.478598375377437	0.63222437433506	0.867269958043677
arid-1	258.235126820797	0.0347681408865944	0.205592843310057	0.169111630185298	0.8657088371229	0.957870991608112
trpp-1	92.2333953612389	0.00326875759415123	0.153833460826585	0.0212486774761967	0.983047284023524	0.995132652759536
lec-12	305.488580255469	0.0564162735282244	0.109736639391091	0.514106080168559	0.607177826693404	0.857223801563537
DC2.5	257.325805546965	-0.130108175446418	0.176588745371544	-0.736786340333692	0.461252291246471	0.782959435946183
kin-33	15.2865611609186	0.466624140718362	0.34891930899623	1.33734112354156	0.181111313289418	0.567041064816955
R02C2.1	16.5370632188179	0.294825110252714	0.310651692602435	0.949053609793216	0.342593346787567	0.705814186448704
R02C2.6	16.2924343944744	0.152620843123684	0.342199186981202	0.446000016744831	0.655597233830644	0.87938912195276
kin-34	27.0862318742758	-0.155483417573076	0.302924248683603	-0.513274913608764	0.607759029563906	0.857333117422009
nhr-204	17.1705881649669	-0.0186602694634758	0.375891252588104	-0.0496427339955247	0.960407091790455	0.987838832182165
lgc-26	57.761927448946	0.120329182972104	0.389735985986216	0.30874537455815	0.757515224983976	0.920690107272687
npr-5	11.6006333079692	-0.348725885459904	0.396522479165956	-0.87946056978513	0.379151603330499	0.73198564641031
F33E11.2	259.361677870117	-0.0549072712013874	0.14852206775844	-0.36969099629484	0.711612741179495	0.900576441811987
F33E11.3	604.880360361088	-0.113419241830904	0.127678933480321	-0.888316018463493	0.374370785558768	0.729134173176073
phf-10	82.399310883897	-0.0224782453347845	0.211009762108078	-0.106527039840324	0.915164202775837	0.973537727681772
nhr-15	12.0680299183789	0.528117380470809	0.403130090211148	1.31004207647759	0.190181601782983	0.577238474091847
abt-4	173.614913883036	0.358819102935893	0.263243930124303	1.36306695757984	0.172861409245447	0.558258822182985
wago-10	9.98354601560152	-0.563935233031046	0.478553761994259	-1.17841563021254	0.238630949496249	0.624580832381987
atg-9	82.3199920167894	0.0205526522738606	0.224290007695146	0.0916342751291695	0.9269886183883	0.978096506776368
T22H9.1	262.888158481206	0.0149920713741179	0.147644439108906	0.101541727305147	0.919120435115905	0.974637264322391
ZK6.8	42.0350958311562	0.0527030450777935	0.340725311551594	0.154678984187569	0.877074398759849	0.962153143988061
lipl-5	29677.2969297904	0.0456560722671153	0.185194708396171	0.246530112347741	0.805271897313248	0.935525689551155
ZK6.6	17.1555933548767	0.1345883004641	0.362852310500501	0.370917578775937	0.710698921676921	0.900044685191759
scl-27	21.7827528978972	-0.159581828189862	0.351996499815089	-0.453361974547172	0.650288113015882	0.87706088834637
dod-19	16860.4405750302	0.179993947441775	0.257596394524696	0.69874404792773	0.484712001078199	0.79596990194436
ZK6.11	11231.2356900193	0.67522803916994	0.26981542341884	2.50255537883678	0.0123300333917517	0.168128436088597
Y39D8A.1	58.7451442335398	0.66836383875316	0.269582331965549	2.47925683363616	0.0131656466879567	0.17387666224253
dod-20	7.47835310250624	0.687099761502507	0.4634811434784	1.48247619384439	0.138213633387516	NA
B0554.5	33.5890950045801	0.414708299335462	0.390607862344722	1.06169982561557	0.288371978552964	0.665482304674153
M02H5.8	390.952060580694	-0.18251926396277	0.234425835514427	-0.778579986980731	0.436227171898235	0.768566514857447
nhr-123	9.28697900530377	-0.0540822676782768	0.387139773250543	-0.139697007166651	0.888899391154608	0.966007546423587
